timestamp,category,app_id,game_name,ccu
2026-02-09T11:42:19.067736+00:00,control,1145360,Hades,2846
2026-02-09T11:42:19.067736+00:00,control,1086940,Baldur's Gate 3,33888
2026-02-09T11:42:19.067736+00:00,new_releases_hype,1808500,ARC Raiders,92055
2026-02-09T11:42:19.067736+00:00,new_releases_hype,2767030,Marvel Rivals,38095
2026-02-09T12:57:14.994932+00:00,giants,730,CS2,1247296
2026-02-09T12:57:14.994932+00:00,giants,570,Dota 2,689592
2026-02-09T12:57:14.994932+00:00,giants,578080,PUBG,541183
2026-02-09T12:57:14.994932+00:00,giants,1172470,Apex Legends,125748
2026-02-09T12:57:14.994932+00:00,giants,271590,GTA V,88759
2026-02-09T12:57:14.994932+00:00,live_service,1085660,Destiny 2,7535
2026-02-09T12:57:14.994932+00:00,live_service,252490,Rust,131081
2026-02-09T12:57:14.994932+00:00,live_service,230410,Warframe,64193
2026-02-09T12:57:14.994932+00:00,live_service,1599340,Lost Ark,7044
2026-02-09T12:57:14.994932+00:00,war_politics_adjacent,1938090,Call of Duty HQ,30125
2026-02-09T12:57:14.994932+00:00,war_politics_adjacent,393380,Squad,12843
2026-02-09T12:57:14.994932+00:00,war_politics_adjacent,107410,Arma 3,6386
2026-02-09T12:57:14.994932+00:00,war_politics_adjacent,394360,Hearts of Iron IV,38594
2026-02-09T12:57:14.994932+00:00,control,413150,Stardew Valley,83406
2026-02-09T12:57:14.994932+00:00,control,105600,Terraria,121986
2026-02-09T12:57:14.994932+00:00,control,1145360,Hades,3410
2026-02-09T12:57:14.994932+00:00,control,1086940,Baldur's Gate 3,39971
2026-02-09T12:57:14.994932+00:00,new_releases_hype,1808500,ARC Raiders,102289
2026-02-09T12:57:14.994932+00:00,new_releases_hype,2767030,Marvel Rivals,40329
2026-02-09T14:14:40.340838+00:00,giants,730,CS2,1319495
2026-02-09T14:14:40.340838+00:00,giants,570,Dota 2,747727
2026-02-09T14:14:40.340838+00:00,giants,578080,PUBG,599947
2026-02-09T14:14:40.340838+00:00,giants,1172470,Apex Legends,144709
2026-02-09T14:14:40.340838+00:00,giants,271590,GTA V,98682
2026-02-09T14:14:40.340838+00:00,live_service,1085660,Destiny 2,8307
2026-02-09T14:14:40.340838+00:00,live_service,252490,Rust,149171
2026-02-09T14:14:40.340838+00:00,live_service,230410,Warframe,68121
2026-02-09T14:14:40.340838+00:00,live_service,1599340,Lost Ark,7681
2026-02-09T14:14:40.340838+00:00,war_politics_adjacent,1938090,Call of Duty HQ,34976
2026-02-09T14:14:40.340838+00:00,war_politics_adjacent,393380,Squad,13463
2026-02-09T14:14:40.340838+00:00,war_politics_adjacent,107410,Arma 3,7035
2026-02-09T14:14:40.340838+00:00,war_politics_adjacent,394360,Hearts of Iron IV,42685
2026-02-09T14:14:40.340838+00:00,control,413150,Stardew Valley,92560
